Position,Const,Created,Modified,Description,Title,Original Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors,Your Rating,Date Rated
111,tt10384744,2020-11-03,2020-11-03,,"Heroic Losers","La odisea de los giles",https://www.imdb.com/title/tt10384744/,Movie,7.2,116,2019,"Adventure, Comedy, Crime, Drama, History, Thriller",14424,2019-08-15,"Sebastián Borensztein",,
112,tt6011170,2020-12-29,2020-12-29,,"Onoda's War","Onoda's War",https://www.imdb.com/title/tt6011170/,Short,,,2016,"Short, History",0,2016-02-16,"Rhyme Lu",,
113,tt10633456,2021-01-16,2021-01-16,,"Minari","Minari",https://www.imdb.com/title/tt10633456/,Movie,7.4,115,2020,"Drama",105826,2021-02-12,"Lee Isaac Chung",,
114,tt7638348,2021-02-14,2021-02-14,,"Boss Level","Boss Level",https://www.imdb.com/title/tt7638348/,Movie,6.8,100,2020,"Action, Adventure, Comedy, Mystery, Sci-Fi, Thriller",86772,2021-03-05,"Joe Carnahan",,
115,tt0993840,2021-02-28,2021-02-28,,"Army of the Dead","Army of the Dead",https://www.imdb.com/title/tt0993840/,Movie,5.8,148,2021,"Action, Adventure, Crime, Drama, Horror, Sci-Fi, Thriller, War",197563,2021-05-21,"Zack Snyder",,
116,tt7808566,2021-03-27,2021-03-27,,"Made for Love","Made for Love",https://www.imdb.com/title/tt7808566/,TV Series,6.9,30,2021,"Comedy, Drama, Sci-Fi, Thriller",13439,2021-04-01,,,
117,tt9203586,2021-04-06,2021-04-06,,"Cryptopia: Bitcoin, Blockchains and the Future of the Internet","Cryptopia: Bitcoin, Blockchains and the Future of the Internet",https://www.imdb.com/title/tt9203586/,Movie,6.8,86,2020,"Documentary",1479,2020-05-07,"Torsten Hoffmann, Michael Watchulonis",,
118,tt0369339,2021-04-11,2021-04-11,,"Collateral","Collateral",https://www.imdb.com/title/tt0369339/,Movie,7.5,120,2004,"Action, Crime, Drama, Thriller",457013,2004-08-06,"Michael Mann",,
119,tt0758774,2021-04-11,2021-04-11,,"Body of Lies","Body of Lies",https://www.imdb.com/title/tt0758774/,Movie,7.0,128,2008,"Action, Drama, Thriller",247283,2008-10-10,"Ridley Scott",,
120,tt0036112,2021-05-20,2021-05-20,,"The Life and Death of Colonel Blimp","The Life and Death of Colonel Blimp",https://www.imdb.com/title/tt0036112/,Movie,8.0,163,1943,"Drama, Romance, War",17760,1944-08-30,"Michael Powell, Emeric Pressburger",,
